ID,sex,age,exposure,order,TP,parade_response,acc,lineup,corpus,parade,rt,conf,conf_rt
5fb6817b4e110a034d8c9830,Female,24,60s,7,Present,2,0,YO,YORVIS,nine,9088.465,2,5531.72
5e282e43266894a3e79a6eaa,Female,20,30s,0,Absent,0,1,YO,YORVIS,nine,11359.705,4,8988.915
5f556bd88eeab9153cd176de,Female,24,30s,0,Absent,2,0,W1,WYRED,nine,5574.775,6,6044.84
6002f2f7e0218e025b6f2afb,Male,19,30s,7,Present,3,0,YO,YORVIS,nine,8894.39,4,6715.86
5fc25f1b214f5d3dfd67e588,Male,19,30s,7,Present,4,0,YO,YORVIS,nine,12009,5,6469
59efd2b3d838ae000185123a,Female,28,15s,7,Present,7,1,D3,DYVIS,nine,7424.185,3,4149.515
5f4cc620ccae1c8df2815418,Male,25,60s,3,Present,1,0,W1,WYRED,nine,4291.675,7,3858.425
60057cf25439a47ac02192af,Female,23,60s,3,Present,3,1,W1,WYRED,nine,20663,2,8704
5f25e8f8e4d6b414e499c7c5,Male,27,30s,0,Absent,3,0,D1,DYVIS,nine,8718.595,7,6816.52
5db4cf0a91ed69000f23a9d9,Female,21,15s,7,Present,9,0,D2,DYVIS,nine,10141.85,7,5732.15
5f5a0782d66aea0433e543ed,Female,33,15s,0,Absent,2,0,W2,WYRED,nine,5408.595,8,7535.345
5ff37d95ad8fba9abee3ad12,Female,19,15s,0,Absent,3,0,D3,DYVIS,nine,8948.895,6,4637.845
5e7b804f9379140478c688da,Male,25,60s,0,Absent,5,0,D2,DYVIS,nine,6925.335,9,5313.925
5f881c7d29650a26096e77a3,Male,28,30s,3,Present,2,0,YO,YORVIS,nine,5542.355,10,4680.36
5b9d73ec6b0f63000148db87,Male,32,15s,0,Absent,3,0,D1,DYVIS,nine,4380.215,8,2575.455
6006cf1238099707863fc7b4,Female,27,15s,0,Absent,7,0,W1,WYRED,nine,5048.34,7,3248.75
5f6f24f71b1cd746e9ded65e,Male,22,30s,7,Present,9,0,D3,DYVIS,nine,17826.34,5,6368.22
5ea1c935df1e160ae8532b18,Male,30,15s,0,Absent,0,1,W1,WYRED,nine,18966.96,8,15743.295
5fad2005789cda3a26bfd0d1,Male,32,15s,0,Absent,3,0,D1,DYVIS,nine,3163.835,7,6493.93
5e67dc8e61181f082015b19e,Female,32,15s,0,Absent,5,0,D2,DYVIS,nine,5451.605,6,7660.075
5a68cddb31b87a0001c75534,Female,36,60s,3,Present,1,0,D2,DYVIS,nine,8067.965,9,8121.545
5c577dcdd05b820001395ce9,Male,19,60s,3,Present,1,0,D2,DYVIS,nine,10876.815,9,10134.015
5f6c828345ca23025dcefa6f,Male,29,30s,0,Absent,1,0,D3,DYVIS,nine,24681.71,9,3731.205
5fd212bbaf3cce26aee4b4c7,Female,24,30s,0,Absent,7,0,W1,WYRED,nine,12082.135,6,11076.82
5ef660beebde2833d8492e58,Female,30,30s,0,Absent,0,1,W1,WYRED,nine,7849.33,7,6304.945
5e792b54ede26d0bc3d47d12,Female,35,30s,0,Absent,1,0,D3,DYVIS,nine,9390.46,7,5067.485
5f3125c68d98745b4f49531b,Male,34,30s,7,Present,1,0,W2,WYRED,nine,18633.495,2,6436.86
5fd3f42e457a37122e5a716d,Female,20,30s,7,Present,5,0,W2,WYRED,nine,18285.545,4,5980.44
600552740dbd6673a1ffda30,Female,23,15s,7,Present,0,0,W2,WYRED,nine,17107.91,4,7921.325
5fb93f3349adcb75d64045d1,Female,21,15s,7,Present,7,1,W2,WYRED,nine,4824.905,8,3071.585
5ea2c1119a49751e74bb17c5,Male,20,30s,3,Present,0,0,W1,WYRED,nine,7222.04,3,6975.76
5fc0cbc5c57a180ab38a13dd,Female,40,15s,3,Present,3,1,D1,DYVIS,nine,4382.035,7,8312.06
59d395800118340001369be1,Male,29,60s,7,Present,7,1,D1,DYVIS,nine,4629.235,9,5598.63
5f973e6938ccf40da50242dd,Male,19,60s,3,Present,3,1,D1,DYVIS,nine,2578.22,8,4088.005
5feb355dfef4d1b60be48854,Male,24,30s,0,Absent,0,1,W2,WYRED,nine,22020.36,8,7039.06
5ee1eca821c28b5e2e65b2e1,Male,20,60s,3,Present,3,1,YO,YORVIS,nine,25071.34,6,4328.805
5d7e8b886984850001138382,Female,34,15s,3,Present,3,1,D2,DYVIS,nine,10375.835,7,8829.47
5f075038b783ad10f899da50,Female,34,30s,7,Present,6,0,D1,DYVIS,nine,7845,4,6521
5e79d99f6873570009367716,Female,26,60s,0,Absent,2,0,W1,WYRED,nine,4363.03,3,6006.38
5cca199061e0b90017809cb7,Male,33,15s,0,Absent,7,0,D3,DYVIS,nine,9200,6,8629
5ffd966bcb70d52bc39bc8ec,Male,19,15s,0,Absent,6,0,D3,DYVIS,nine,14706.93,6,8624.045
